fecha,monto_creditos_millones,indice_creditos,precio_venta_avg,indice_venta,precio_alquiler_avg,indice_alquiler
2010-02-01,NA,NA,2042.4736842105262,54.30955339849304,NA,NA
2010-05-01,NA,NA,2126.5,56.54382046373112,NA,NA
2010-08-01,NA,NA,2238.214285714286,59.514313064089706,NA,NA
2010-11-01,NA,NA,2239.9375,59.56013348223782,NA,NA
2011-02-01,NA,NA,2279,60.59880876409275,NA,NA
2011-05-01,NA,NA,2323.1666666666665,61.7732042827767,NA,NA
2011-08-01,NA,NA,2416.214285714286,64.24734858844623,NA,NA
2011-11-01,NA,NA,2514.5714285714284,66.86267359528367,NA,NA
2012-02-01,NA,NA,2696.5,71.70017017655817,NA,NA
2012-05-01,NA,NA,2657.875,70.67312805786003,NA,NA
2012-08-01,NA,NA,2701,71.81982556902786,NA,NA
2012-11-01,NA,NA,2685,71.39438417358008,NA,NA
2013-02-01,NA,NA,2707.8333333333335,72.0015244983337,NA,NA
2013-05-01,NA,NA,2754.375,73.23907147415443,NA,NA
2013-07-01,NA,NA,NA,NA,437.55509004842486,79.51567541934497
2013-08-01,NA,NA,2569.3333333333335,68.31879741898886,NA,NA
2013-09-01,NA,NA,NA,NA,409.3359934520156,74.38749710164129
2013-10-01,NA,NA,NA,NA,403.33025924787376,73.29609164780791
2013-11-01,NA,NA,2641,70.2244203360987,417.746168825671,75.91585499403224
2014-02-01,NA,NA,2592.8333333333335,68.9436644685528,351.8110004622043,63.933639347245816
2014-03-01,NA,NA,NA,NA,403.0265170831209,73.24089342492589
2014-05-01,NA,NA,2530.5714285714284,67.28811499073146,403.47719141323796,73.32279322353057
2014-06-01,NA,NA,NA,NA,427.2083685545224,77.63539436062742
2014-07-01,NA,NA,NA,NA,406.3542361574383,73.84563060161123
2014-08-01,NA,NA,2531.875,67.32277706870879,NA,NA
2014-09-01,NA,NA,NA,NA,344.5045661799878,62.60586126839133
2014-10-01,NA,NA,NA,NA,352.6448274195745,64.08516841228494
2014-11-01,NA,NA,2524.6666666666665,67.13110685669716,394.4131378905438,71.67560786496382
2015-02-01,NA,NA,2757.5882352941176,73.3245116808689,426.8725738192839,77.57437131282836
2015-03-01,NA,NA,NA,NA,460.17836974724463,83.62694142073768
2015-05-01,NA,NA,2764.5882352941176,73.5106422913773,499.6213339049048,90.79480212415278
2015-06-01,NA,NA,NA,NA,480.11177897289883,87.249384706251
2015-07-01,NA,NA,NA,NA,451.76123837822297,82.09731943456208
2015-08-01,NA,NA,2846,75.67538821527334,NA,NA
2015-09-01,NA,NA,NA,NA,429.86959030582807,78.1190108235791
2015-10-01,NA,NA,NA,NA,437.82032047050353,79.56387500982628
2015-11-01,NA,NA,2866,76.20718995958306,464.69227563212,84.44724104329606
2016-02-01,NA,NA,2939.9,78.17219740480749,438.40861571527023,79.67078427633358
2016-03-01,NA,NA,NA,NA,549.7520737045086,99.90492271261577
2016-05-01,2.075,0.02941860646046067,3006.3684210526317,79.93959851767261,602.6974262193733,109.52653507934393
2016-06-01,14.247,0.20198886083960632,NA,NA,620.6290875727974,112.78520626461273
2016-07-01,35.622,0.5050359514865205,NA,NA,576.7407917609629,104.80950774378005
2016-08-01,127.181,1.803126644938722,3072.6111111111113,81.70099742371599,NA,NA
2016-09-01,238.335,3.3790282268693463,NA,NA,607.0788111049352,110.32275202749786
2016-10-01,394.258,5.589648648620868,NA,NA,597.9662539295567,108.66675223438054
2016-11-01,465.059,6.593439856335122,3137.5,83.42639863858753,620.0284220100045,112.67604897444994
2016-12-01,819.47,11.618152017423473,NA,NA,NA,NA
2017-01-01,590.482,8.371642207222042,NA,NA,NA,NA
2017-02-01,743.757,10.544720233837515,3187.842105263158,84.76499960814607,690.220700152207,125.43189739820397
2017-03-01,1143.646,16.214203182689158,NA,NA,670.2740753318052,121.8070524792362
2017-04-01,1249.687,17.717614482772873,NA,NA,NA,NA
2017-05-01,1645.988,23.336228053320838,3249.25,86.3978408849181,711.9710969840331,129.38453681220332
2017-06-01,2628.317,37.26333661510294,NA,NA,703.6056721840937,127.86431131771003
2017-07-01,3991.791,56.59418241031747,NA,NA,663.3432032301481,120.54752427594786
2017-08-01,6068.514,86.03721694737158,3463.777777777778,92.10215320617363,NA,NA
2017-09-01,7326.432,103.87152759871121,NA,NA,704.0418546033432,127.94357754146446
2017-10-01,8266.415,117.19826974643325,NA,NA,769.545635183468,139.847398280409
2017-11-01,9138.866,129.5675673970527,3621.5,96.29600085088279,692.7524790870311,125.89199057639722
2017-12-01,11465.627,162.55555110141316,NA,NA,NA,NA
2018-01-01,9497.784,134.65617818913734,NA,NA,NA,NA
2018-02-01,9442.986,133.87927178103115,3725.4444444444443,99.05989269422581,712.7942705871229,129.53412987265617
2018-03-01,13937.228,197.59702442492207,NA,NA,689.488526802931,125.29884156199994
2018-04-01,13219.732,187.42462323891982,NA,NA,NA,NA
2018-05-01,10597.384,150.24591296693131,3771.777777777778,100.29190006854334,609.8740349451442,110.83072031916572
2018-06-01,5572.805,79.0092323739217,NA,NA,554.3824960324688,100.74639654587372
2018-07-01,4932.757,69.93486117979883,NA,NA,539.5330859616574,98.04785435492649
2018-08-01,5122.669,72.62736546419355,3772.9,100.32174005530739,NA,NA
2018-09-01,3419.301,48.47762433198054,NA,NA,415.97463880335965,75.59391974644059
2018-10-01,3229.435,45.785772219102554,NA,NA,424.6293403820738,77.16671470926039
2018-11-01,2975.802,42.18985443000086,3771.157894736842,100.27541732442144,456.65669085834486,82.98695646380364
2018-12-01,2692.428,38.17227940006033,NA,NA,NA,NA
2019-01-01,2378.753,33.725107649947084,NA,NA,NA,NA
2019-02-01,2101.543,29.794923603246215,3700.75,98.40326526271006,476.092516298232,86.51897522517623
2019-03-01,2128.531,30.17754979657388,NA,NA,462.3017126967073,84.01281065780847
2019-04-01,2410.731,34.178480275196534,NA,NA,NA,NA
2019-05-01,2627.608,37.25328466716055,3678.15,97.80232929164008,437.4039378102094,79.48820694146367
2019-06-01,1780.417,25.242114245066986,NA,NA,449.39467909362133,81.66725116609743
2019-07-01,1693.802,24.014117812019855,NA,NA,465.916743355167,84.66976017343917
2019-08-01,2039.819,28.9198228489496,NA,NA,NA,NA
2019-09-01,2294.553,32.53135022152742,NA,NA,NA,NA
2019-10-01,1927.071,27.321322106200675,NA,NA,NA,NA
2019-11-01,1787.422,25.34142862494917,NA,NA,NA,NA
2019-12-01,1505.629,21.34626844648527,NA,NA,NA,NA
2020-01-01,767.99,10.888287024370694,NA,NA,NA,NA
2020-02-01,615.974,8.733058648614843,NA,NA,NA,NA
2020-03-01,372.538,5.281710271598601,NA,NA,NA,NA
2020-04-01,58.179,0.8248410145846464,NA,NA,NA,NA
2020-05-01,200.61,2.84417669495567,NA,NA,NA,NA
2020-06-01,260.152,3.6883418351333797,NA,NA,NA,NA
2020-07-01,181.285,2.5701937697275237,NA,NA,NA,NA
2020-08-01,177.953,2.5229538676907746,NA,NA,NA,NA
2020-09-01,292.315,4.144337324091355,NA,NA,NA,NA
2020-10-01,268.427,3.8056618199335306,NA,NA,NA,NA
2020-11-01,311.425,4.415272056360946,NA,NA,NA,NA
2020-12-01,264.095,3.7442442762290895,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
